sector,sector_group
Agriculture,Others
Education,Others
Energy,Energy
Finance,Finance
Health and Other Social Services,Others
Industry and Mining,Industry and Mining
Information and Communications,Others
Public Administration,Others
Trade,Others
Transportation,Others
"Water, Sanitary & Urban Services",Others
