Profile,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
"Africa, Energy",8.535714746,9.637635517,10.73782717,11.83640077,12.9334675,14.02913871,15.12352589,16.21674067,17.30889484,18.40010031,19.49046916,20.58011359,21.66914596,22.75787612,23.84635137,24.93429014,26.02141048,27.10743011,28.19206637,29.27503626,30.3560564,31.43484308,32.5111122,33.58457934,34.6549597,35.72196813,36.79075314,37.8656222,38.94502686,40.02741668,41.11123926,42.19494023,43.27696325,44.35575,45.42974021,46.49737164,47.55708007,48.60729931,49.6464612,50.68100555,51.71721373,52.75327676,53.78738339,54.81772008,55.84247101,56.85981806,57.86794084,58.86501668,59.84922061,60.81872538,61.77170147,62.70953794,63.63529412,64.54964481,65.45326564,66.34683313,67.23102463,68.1065184,68.97399353,69.83412998,70.68760858,71.53511102,72.37731985,73.21491848,74.04440984,74.86254443,75.67037876,76.46897066,77.2593793,78.04266519,78.81989018,79.59211745,80.36041152,81.12583824,81.8894648,82.65235975,83.41196471,84.16512134,84.91199941,85.65276889,86.38759997,87.11666308,87.84012885,88.55816813,89.27095199,89.97865175,90.6814389,91.37948518,92.07296256,92.76179663,93.44574783,94.12474045,94.79869866,95.46754657,96.13120821,96.7896075,97.44266828,98.09031429,98.73246922,99.36905662,100
"Africa, Finance",18.37256224,19.54600778,20.71386336,21.87610987,23.0327282,24.18369923,25.32900384,26.46862288,27.60253722,28.7307277,29.85317517,30.96986047,32.08076441,33.18600844,34.28572592,35.37991554,36.46857602,37.55170604,38.6293043,39.70136952,40.76790039,41.8288956,42.88435388,43.9342739,44.97865438,46.01749402,47.04985154,48.075023,49.09336324,50.10522725,51.11097017,52.1109473,53.10551408,54.09502612,55.07983916,56.06030912,57.03679204,58.00964415,58.9792218,59.95508442,60.94372133,61.94088246,62.94231596,63.94376813,64.94098346,65.92970466,66.90567258,67.86462628,68.802303,69.71443818,70.59676541,71.45738934,72.30705927,73.14547438,73.9723337,74.78733614,75.59018051,76.38056545,77.1581895,77.92275108,78.67394845,79.41147979,80.13504311,80.84433631,81.53635635,82.20949113,82.8655255,83.50624506,84.13343619,84.74888601,85.35438241,85.95171404,86.54267032,87.12904142,87.71261829,88.29519262,88.87229279,89.43846341,89.99402118,90.53928294,91.07456567,91.6001865,92.11646268,92.62371159,93.12225075,93.61239784,94.09447064,94.56878709,95.03566526,95.4950522,95.94659102,96.39014398,96.82557328,97.25274105,97.67150937,98.08174026,98.48329569,98.87603755,99.25982771,99.63452795,100
"Africa, Industry and Mining",14.88360874,16.30262035,17.70643109,19.09479154,20.46745216,21.82416329,23.16467512,24.48873773,25.79610107,27.08651498,28.35972915,29.61549316,30.85355645,32.07333419,33.27477544,34.45843062,35.62485045,36.77458595,37.9081884,39.0262094,40.1292008,41.21771477,42.29230375,43.35352048,44.40191798,45.43804956,46.45167279,47.4343337,48.38926977,49.31972012,50.22892559,51.12012865,51.99657347,52.8615059,53.71817344,54.56982528,55.41971229,56.271087,57.12720363,57.98017567,58.82079327,59.65032738,60.47004962,61.28123223,62.08514814,62.88307092,63.67627481,64.46603468,65.25362608,66.04032522,66.82740894,67.61309873,68.39459693,69.17165213,69.94401275,70.71142711,71.47364339,72.23040965,72.98147381,73.72658367,74.46548691,75.19793105,75.92366353,76.64243162,77.35313818,78.05537662,78.74993018,79.43758255,80.11911778,80.79532036,81.46697517,82.13486748,82.79978298,83.46250776,84.12382832,84.78453154,85.44282848,86.09646314,86.74552218,87.3900923,88.03026024,88.66611281,89.29773683,89.92521919,90.54864682,91.1681067,91.78368583,92.39547129,93.00355019,93.60795365,94.20862435,94.80551676,95.39858532,95.98778443,96.57306849,97.15439188,97.73170893,98.30497398,98.87414132,99.43916524,100
"Africa, Others",6.27640325,7.159842571,8.046075909,8.935118013,9.826983643,10.72168757,11.61924457,12.51966946,13.42297702,14.32918207,15.23829946,16.15034401,17.06533059,17.98329447,18.90423754,19.8281245,20.75492002,21.68458875,22.6170953,23.55240424,24.49048013,25.43128746,26.37479073,27.32095438,28.26974283,29.22112045,30.17544706,31.13307872,32.09397416,33.05809208,34.02539112,34.99582991,35.96936703,36.94596101,37.92557036,38.90815354,39.89366899,40.8820751,41.87333022,42.87193915,43.88116933,44.89912181,45.92389594,46.95358946,47.9862984,49.02011717,50.05313851,51.08345349,52.10915153,53.12832039,54.13904617,55.14840855,56.16375481,57.18357025,58.20633885,59.23054327,60.25466486,61.27718364,62.29657831,63.31132627,64.31990358,65.32078499,66.31244393,67.29335252,68.26729031,69.23873334,70.20719717,71.17219694,72.13324736,73.08986275,74.04155699,74.98784354,75.92823545,76.86224536,77.78938547,78.70916759,79.62288581,80.5320844,81.43665003,82.33646925,83.23142853,84.12141425,85.00631267,85.88601,86.7603923,87.62934558,88.49275574,89.35050856,90.20248977,91.04876652,91.88950545,92.72474141,93.55450929,94.37884404,95.19778059,96.01135396,96.81959916,97.62255125,98.42024533,99.21271653,100
"Europe, Energy",10.61207512,12.07680673,13.52998456,14.97165791,16.40187615,17.82068877,19.22814534,20.62429555,22.00918915,23.38287603,24.74540613,26.09682952,27.43719636,28.76653472,30.08474354,31.39167919,32.68719784,33.97115546,35.24340785,36.50381057,37.75221902,38.98848839,40.21247369,41.42402971,42.62301106,43.80927215,44.98662768,46.15815885,47.32261829,48.47875677,49.6253232,50.76106464,51.88472629,52.9950515,54.09078176,55.1706567,56.23341409,57.27778986,58.30251807,59.30435889,60.28228905,61.23836842,62.17465996,63.09322974,63.99614695,64.8854839,65.76331599,66.63172173,67.49278276,68.34858382,69.20121275,70.04450134,70.87155724,71.68338555,72.48099292,73.26538751,74.03757899,74.79857854,75.5493989,76.29105428,77.02456043,77.75093463,78.47119566,79.18636382,79.8924349,80.58539041,81.26623152,81.93596091,82.59558275,83.24610272,83.88852799,84.52386724,85.15313065,85.7773299,86.39747815,87.0145901,87.62622294,88.22935086,88.82411535,89.4106581,89.98912104,90.55964629,91.12237623,91.67745344,92.22502074,92.76522115,93.29819793,93.82409455,94.34305472,94.85505261,95.35991746,95.85757562,96.34795335,96.83097683,97.30657213,97.77466522,98.23518198,98.6880482,99.13318956,99.57053166,100
"Europe, Finance",20.44892262,21.98518888,23.50589208,25.01095738,26.50030992,27.97387478,29.43157699,30.87334156,32.29909343,33.70875753,35.1022587,36.47952177,37.84047153,39.18495438,40.51296204,41.82463729,43.120123,44.39956214,45.66309777,46.91087308,48.14303133,49.35971588,50.56107019,51.74723783,52.91836246,54.07458784,55.21364292,56.33360232,57.43512871,58.51888522,59.58553539,60.63574322,61.67017313,62.68948999,63.6943591,64.68544619,65.66341745,66.62893947,67.58267932,68.52461007,69.45399178,70.37042215,71.27349857,72.16281823,73.03797802,73.89857458,74.74420432,75.57446337,76.3889476,77.18725264,77.96897384,78.73474847,79.48550082,80.22125661,80.94204159,81.64788153,82.33880222,83.01482947,83.67598912,84.32230702,84.95380905,85.57052111,86.17246911,86.75967901,87.3286481,87.87701102,88.40650055,88.91885058,89.41579613,89.89907337,90.37041957,90.83157313,91.28427359,91.7302616,92.17127896,92.60906857,93.03926593,93.45653732,93.86117276,94.25346249,94.63369693,95.00216669,95.35916258,95.70497558,96.03989689,96.36421787,96.6782301,96.98222534,97.27649553,97.56103645,97.83555908,98.09992824,98.35400868,98.59766505,98.83076195,99.05316386,99.26473519,99.46534027,99.65484334,99.83310856,100
"Europe, Industry and Mining",16.95996912,18.74167785,20.49825557,22.22939475,23.93478765,25.61412632,27.26710257,28.89340803,30.49273408,32.06477189,33.60921241,35.12574638,36.61406432,38.07330302,39.50326682,40.90464781,42.27813863,43.6244324,44.94422281,46.23820405,47.50707085,48.75151845,49.97224261,51.16993965,52.34530638,53.49904015,54.61955259,55.69715237,56.7353847,57.73779746,58.70794116,59.64936894,60.56563659,61.46030252,62.33692779,63.19907611,64.05031381,64.89420987,65.7343359,66.55317331,67.33423854,68.08266058,68.80357222,69.50211003,70.18341438,70.85262946,71.51490323,72.17538747,72.83923774,73.5116134,74.19767763,74.88815374,75.57037204,76.24440903,76.9103413,77.56824546,78.21819821,78.8602763,79.49455653,80.12111578,80.74003098,81.3513791,81.95523721,82.55168241,83.13912522,83.71641051,84.2842673,84.8434252,85.39461432,85.93856533,86.47600943,87.00767837,87.53430442,88.05662041,88.5753597,89.09125619,89.60263952,90.10738969,90.60556653,91.09722994,91.58243985,92.06125625,92.53373917,92.99994869,93.45994492,93.91378805,94.36153829,94.8032559,95.23900118,95.66885499,96.09282995,96.51088413,96.92297553,97.32906215,97.72910196,98.12305289,98.51087283,98.89251968,99.26795129,99.63712546,100
"Europe, Others",8.352763628,9.598613846,10.83733549,12.06888547,13.29322069,14.51029798,15.72007415,16.92250596,18.11755014,19.30516336,20.48530228,21.65792348,22.82298353,23.98024003,25.12955057,26.27102178,27.40476041,28.53087334,29.64946755,30.76065019,31.8645285,32.96120986,34.05080177,35.13341187,36.2091479,37.27811774,38.33934755,39.39196773,40.43624286,41.47243782,42.50081781,43.52164831,44.53519509,45.54172424,46.54150215,47.53479549,48.52187125,49.5029967,50.47843942,51.44306274,52.39285905,53.32979134,54.25582477,55.1729267,56.0830666,56.98821614,57.89034915,58.79144162,59.69347171,60.59841974,61.5082682,62.42259168,63.33885038,64.25585589,65.17241848,66.08734712,66.99944948,67.90753194,68.81039958,69.70685617,70.59570419,71.47574482,72.34577793,73.2046021,74.05551856,74.9022683,75.74430811,76.58109423,77.41208226,78.23672726,79.05448367,79.86480536,80.66714561,81.46095711,82.24569196,83.02080169,83.78771125,84.54811713,85.30187757,86.04885067,86.78889438,87.52186649,88.24762467,88.96602641,89.67692907,90.38018986,91.07566584,91.76321394,92.44269091,93.11421323,93.77801826,94.43414398,95.08262844,95.72350973,96.356826,96.98261543,97.60091626,98.21176678,98.81520531,99.41127024,100
"Others, Energy",9.441197368,10.59171535,11.74134089,12.89028699,14.03876704,15.18699483,16.33518457,17.48355086,18.63230873,19.78167358,20.93186125,22.08308797,23.23557036,24.38990701,25.54620049,26.70392294,27.86254555,29.02153851,30.180371,31.33851124,32.49542646,33.65058289,34.80344576,35.95347935,37.10014691,38.24291074,39.39171637,40.55483349,41.72920556,42.91177033,44.09945983,45.2892004,46.47791265,47.66251151,48.83990616,50.00700012,51.16069116,52.29787136,53.41542709,54.52490696,55.63792817,56.75147158,57.86251244,58.96802044,60.06495968,61.15028869,62.22096042,63.27392224,64.30611594,65.31447774,66.29593829,67.25326824,68.19194632,69.11296244,70.01730839,70.90597782,71.77996624,72.64027104,73.48789147,74.32382863,75.1490855,75.96466695,76.77157966,77.57083223,78.35767146,79.12755612,79.88181596,80.6217832,81.34879253,82.06418113,82.76928863,83.46545712,84.15403119,84.83635788,85.5137867,86.18766963,86.85469842,87.51082303,88.15628498,88.79132629,89.41618943,90.03111732,90.63635336,91.23214144,91.81872587,92.39635147,92.9652635,93.52570769,94.07793025,94.62176954,95.15682616,95.68298985,96.20015015,96.70819646,97.20701798,97.69650375,98.17654262,98.64702326,99.10783419,99.55886372,100
